commit	score	sharpe	max_dd	status	description
4db5f7a	0.734172	0.8567	-0.1577	discard	BB breakout DI 8 (marginal regression)
d3ef05e	0.733659	0.8567	-0.1577	discard	BB breakout DI 10 (marginal regression)
b59da73	0.723812	0.8295	-0.1566	discard	secondary DI 7 (regression)
881386d	0.701986	0.9917	-0.1573	discard	secondary DI 5 (consistency crashed)
8ce607e	0.724795	0.8581	-0.1544	discard	primary ADX 19 (regression)
6c86f62	0.698892	0.8064	-0.1609	discard	BB period 18 (regression)
96f0dc0	0.713554	0.8444	-0.1629	discard	vol filter 1.9x (regression)
b86ef07	0.600928	0.5331	-0.1809	discard	remove secondary (regression)
125e14f	0.468827	0.5591	-0.1962	discard	ADX period 12 (regression)
5876f35	0.710306	0.8460	-0.1623	discard	vol window 15d (regression)
f31da40	0.727721	0.9319	-0.1649	discard	tertiary ADX>45 DI>4 (consistency dropped)
2c5287d	0.738771	0.7949	-0.1422	keep	volume>median on primary (NEW RECORD!)
facdd3f	0.700130	0.8554	-0.1128	discard	volume on secondary (regression)
04bbbf8	0.721711	0.7818	-0.1745	discard	volume 0.8x median (regression)
82f6620	0.708220	0.7212	-0.1685	discard	volume window 40 (regression)
09ad884	0.745486	0.7996	-0.1402	keep	primary DI 11 (BREAKTHROUGH!)
c853084	0.732327	0.7889	-0.1444	discard	primary DI 10 (regression)
81c253b	0.743575	0.8648	-0.1365	discard	secondary ADX 40 (was 39)
ebaedd1	0.699847	0.7238	-0.1665	discard	volume window 40 (was 50)
eb1c3a8	0.619032	0.7702	-0.1645	discard	BB period 25 (was 20)
aed320b	0.600072	0.7071	-0.1706	discard	volume threshold 1.1x median (was 1.0x)
323fabf	0.604291	0.7505	-0.1721	discard	add volume spike entry (2x median + ADX + DI)
654ec44	0.743826	0.7878	-0.1402	discard	BB dip-buy ADX>15 confirmation
66ce65f	0.743051	0.7889	-0.1444	discard	primary DI 11.0 (was 11.5)
67059a3	0.734035	0.7996	-0.1402	discard	vol regime 2.1x (was 2.0x)
6521b55	0.676137	0.7099	-0.1374	discard	BB upper breakout with volume filter
8165af0	0.567968	0.7214	-0.1698	discard	remove BB dip-buy entry
aeef76f	0.743870	0.7996	-0.1402	discard	BB breakout DI 9.5 (was 9)
36d8f9a	0.731622	0.8057	-0.1390	discard	secondary DI 6.5 (was 6)
636e0be	0.743453	0.7996	-0.1402	discard	vol regime window 200 (was 252)
bb757f4	0.669287	0.7994	-0.1603	discard	SMA60 trend (was SMA50)
c26e11f	0.757162	0.8474	-0.1547	keep	EMA-smoothed ADX (span=3)
bc19912	0.733505	0.8906	-0.1355	discard	ADX EMA span 2 (was 3)
372bc54	0.696519	0.8153	-0.1487	discard	ADX EMA span 4 (was 3)
fb3ff2e	0.747147	0.8643	-0.1327	discard	secondary ADX 38 with smoothed (was 39)
c1db7ec	0.758004	0.8706	-0.1392	keep	secondary ADX 40 with smoothed (was 39)
73ac081	0.749862	0.8434	-0.1270	discard	secondary ADX 41 (was 40)
98f2eda	0.753173	0.8985	-0.1392	discard	primary ADX 19 with smoothed (was 20)
